Course ID,Course Subject,Column1,Course Number,Course Name,Course Description,Course Credits,Column1.details.career,Course Prerequisites,Column1.enrollment_information.course_attribute,Column1.offerings
COMPSCI 397J,Computer Science,COMPSCI,397J,Special Topics - Introductory Javascript Game Development,"Students will be taught the basics of game development using a Javascript/HTML5 game engine. This course will be project based, with students implementing features onto simple existing games to familiarize themselves with the engine. After becoming comfortable with the engine, students will propose a game project and then develop it from scratch. Not for CS Major/Minor Requirements.",1,Undergraduate,Prerequisite: COMPSCI 326 with a grade of C or better.,,[List]
COMPSCI 398A,Computer Science,COMPSCI,398A,Practicum- Credited Internship,,,,,,[List]
COMPSCI 398L,Computer Science,COMPSCI,398L,Practicum- Computer Science Education: Leadership Principles and Practice,"Students will learn the principles of instructing others in computer science in preparation for serving as a UCA II.  Students will explore how computer science is taught and how social and economic factors influence representation in computer science education.  Skills covered will include giving written feedback on assignments, reviewing code, answering questions online, and moderating discussions.  This course does not count as a CS Elective.",3,Undergraduate,,,[List]
COMPSCI 403,Computer Science,COMPSCI,403,"Introduction to Robotics: Perception, Mechanics, Dynamics & Control","This course covers concepts and methods to understand how robots move and interact with the physical world. We will study how to define robots, describe their state, and control their motion. We will study the representation of three-dimensional movement, mechanisms (kinematics and dynamics), actuators, dynamics-based feedback control, and trajectory optimization. Students will also learn Matlab software to build simulation and analysis tools.",3,Undergraduate,Prerequisites: MATH 235 and COMPSCI 220 (or 230) both with a grade of 'C' or better.,,[List]
COMPSCI 410,Computer Science,COMPSCI,410,Compiler Techniques,"Basic problems in the translation of programming languages focusing on theory and common implementation techniques for compiling traditional (Pascal-like) programming languages to produce assembly or object code for typical machines. Involves a substantial laboratory project in which the student constructs a working compiler for a considerable subset of a realistic programming language within a provided skeleton.  Lectures augmented by a discussion section covering details of the programming language to be used in the project (Java), the operating system (Unix), the source language (a Pascal subset) and various tools (javacup, make, etc.). Use of computer required.",3,Undergraduate,"Prerequisites: COMPSCI 230 and either COMPSCI 250 or MATH 455, all with a grade of C or better.",,[List]
COMPSCI 420,Computer Science,COMPSCI,420,Software Entrepreneurship,"This course is geared towards students interested in developing software that moves from early stage proof-of-concept ideas towards marketable products with societal benefit. The course leverages the expertise of the Entrepreneurs in Residence (EIR) of the Ventures @ CICS initiative at CICS. The course is grounded in Challenge Based Learning (CBL), an active, student-directed instructional framework that was developed by Apple Inc. and educators.",3,Undergraduate,Prerequisites: COMPSCI 320 or 326 with a grade of C or better.,,[List]
COMPSCI 429,Computer Science,COMPSCI,429,Software Engineering Project Management,"Practical experience in the management of software development projects.  Managing people, coaching, mentoring, planning, scheduling, evaluation, negotiation, and expectation management are explored.  The focus is on the power of communication.",3,Undergraduate,Prerequisite:  COMPSCI 320 with a grade of 'A-' or better.,,[List]
COMPSCI 445,Computer Science,COMPSCI,445,Information Systems,"Introduction to the efficient management of large-scale data. Principles for representing information in the relational model; query languages for analyzing and manipulating data (SQL and others); core systems principles for data management (file organizations, query optimization, indexing, distributed data processing, concurrency control) and distributed data processing paradigms.",3,Undergraduate,"Prerequisites: COMPSCI 220 (or 230), 311, and 345, all with a grade of C or better.",,[List]
COMPSCI 446,Computer Science,COMPSCI,446,Search Engines,"This course provides an overview of the important issues in information retrieval, and how those issues affect the design and implementation of search engines.  The course emphasizes the technology used in Web search engines, and the information retrieval theories and concepts that underlie all search applications.  Mathematical experience (as provided by COMPSCI 240) is required.  You should also be able to program in Java (or some other closely related language).",3,Undergraduate,Pre Requisite: COMPSCI 240 or COMPSCI 383 with a grade of 'C' or better,,[List]
COMPSCI 453,Computer Science,COMPSCI,453,Computer Networks,"Introduction to computer communication networks and protocols. Fundamental concepts in the design and analysis of computer networks. Topics include: layered network architectures, networked applications, network programming interfaces, transport, congestion, routing, data link protocols, local area and data center networks, network security, and wireless networks. Examples drawn from the Internet (e.g., TCP, UDP, and IP) protocol suite.",3,Undergraduate,Prerequisite: COMPSCI 230 (or COMPSCI 377) with a grade of 'C' or better.,,[List]
COMPSCI 460,Computer Science,COMPSCI,460,Introduction to Computer and Network Security,,,,,,[List]
COMPSCI 461,Computer Science,COMPSCI,461,Secure Distributed Systems,"This is a class devoted to the study of securing distributed systems, with blockchain-based cryptocurrencies serving as our real platform of interest. We'll start with the fundamentals of Lamport's, Fischer's, and Douceur's results that fence-in all consensus system, and discuss Byzantine fault tolerance.  We'll also look at the efficiency of the network architectures for peer-to-peer/distributed system communication and attacks on their security, such as denial of service attacks. And we'll review relevant applied cryptography such as elliptic curves. We'll discuss in detail the mechanisms of Bitcoin and Ethereum and we'll program distributed applications for Ethereum. Other topics include economics and finance. The course is based on a flipped classroom. This course counts as a CS Elective toward the CS major (BA or BS), as well an any 2 menu choice for the former Security & Privacy track.",3,Undergraduate,"Prerequisite: either COMPSCI 326, 345, 377, 453, or 497P with a grade of C or better.",,[List]
COMPSCI 466,Computer Science,COMPSCI,466,Applied Cryptography,"An undergraduate-level introduction to modern cryptography, with a ""theory applied to practice"" viewpoint.  Topics: Blockciphers, pseudorandom functions, symmetric-key encryption schemes, hash functions, message authentication codes, public-key encryption schemes, digital signature schemes, and public-key infrastructures.",3,Undergraduate,Prerequisite: COMPSCI 311 with a grade of 'C' or better.,,[List]
COMPSCI 474,Computer Science,COMPSCI,474,Image Synthesis,"This course provides a broad overview of modern image synthesis techniques. Specific topics include photorealistic rendering, global illumination techniques, Monte Carlo ray tracing, virtual reality, texture synthesis, and image editing.",3,Undergraduate,Pre-req: COMPSCI 187 and MATH 235 with a grade of C or better,,[List]
COMPSCI 490A,Computer Science,COMPSCI,490A,Applications of Natural Language Processing,"This course will introduce NLP methods and applications, such as text classification, sentiment analysis, machine translation, and other applications to identify and use the meaning of text.  During the course, students will (1) learn fundamental methods and algorithms for NLP; (2) become familiar with key facts about human language that motivate them, and help practitioners know what problems are possible to solve; and (3) complete a series of hands-on projects to use, implement, experiment with, and improve NLP tools.  This course counts as a CS Elective for the CS Major (BA or BS).",3,Undergraduate,Prerequisite: COMPSCI 220 and 240 with a grade of C or better.,,[List]
COMPSCI 490P,Computer Science,COMPSCI,490P,Secure Distributed Systems,,,,,,[List]
COMPSCI 490S,Computer Science,COMPSCI,490S,Software Entrepreneurship,,,,,,[List]
COMPSCI 490U,Computer Science,COMPSCI,490U,Introduction to User Experience Research,"As technology becomes more and more integrated with our work and life, it is increasingly critical to consider how we can better design technology to enhance the experience and behavior of its users. UX Research, or User Experience Research, is an interdisciplinary field that combines knowledge from computer science, design, statistics, and psychology to gather insights about the needs, attitudes, and behaviors of technology users to inspire and inform design. This course introduces you to the cycle of UX research and aims to prepare you to tackle real-world UX research challenges. You will learn about the principles and practices of UX research, how to conduct user experiments to explore user behaviors and motivations, how to use statistical software to analyze data, and how to present your findings in an effective manner.  This course counts as a CS Elective toward the CS major (BA or BS) and as an Elective toward the INFORM major.",3,Undergraduate,Prerequisite: COMPSCI 325 with a grade of C or better,,[List]
COMPSCI 491G,Computer Science,COMPSCI,491G,S-Computer Networking Lab,"In this course, students will learn how to put ""principles into practice,"" in a hands-on-networking lab course. The course will cover router, switches and end-system labs in the areas of Single Segment IP Networks, Multiple Segment IP Networks and Static Routing, Dynamic Routing Protocols (RIP, OSPF and BGP), LAN switching, Transport Layer Protocols: UDP and TCP, NAT, DHCP, DNS, and SNMP. Students will also get engaged in evaluating power consumption of network components as an aid in the design of energy efficient (green) networks. This course counts as a CS Elective toward the CS major (BA/BS).",3,Undergraduate,Prerequisite: COMPSCI 453 with a grade of 'C' or better.,,[List]
COMPSCI 491IP,Computer Science,COMPSCI,491IP,S-Programming the iPhone and iPad,"Programming mobile iOS apps, using Swift and Xcode.  Exploratory assignments, student-defined, semester-long, app-building project, and student-led presentations and discussions of independent research into APIs. No exams. This course counts as a CS Elective toward the CS major (BS/BA).",3,Undergraduate,Prerequisites: COMPSCI 320 or 326 with a grade of C or better.,,[List]
COMPSCI 496,Computer Science,COMPSCI,496,Independent Study,,,,,,[List]
COMPSCI 496B,Computer Science,COMPSCI,496B,Independent Study- Software Engineering Group Leader,Each student will lead one of the student groups assigned to a portion of the COMPSCI 320 project.  They will be evaluated on their performance as leader.,1,Undergraduate,Prerequisite: COMPSCI 220 with a grade of 'C' or better.,,[List]
COMPSCI 496C,Computer Science,COMPSCI,496C,Independent Study - Social Entrepreneurship Launchpad,"Social Entrepreneurship Launchpad offers a team-based opportunity to students who have successfully completed COMPSCI 420 (previously COMPSCI 490S) and are committed to launching marketable products that contribute to the common good. Teams will be mentored by CICS Entrepreneurs in Residence (EIRs) and UMass alumni. Teams test the commercial potential of their product ideas and receive mentoring and guidance from EIRs and industry partners to secure funding, build a marketing plan, and consolidate a customer base.  This course does not count as either a CS or INFORM Elective.",3,Undergraduate,Prerequisite: COMPSCI 420 (formerly 490S) with a grade of C or better.,,[List]
COMPSCI 496E,Computer Science,COMPSCI,496E,Independent Study - Modernizing the Bayesian Inference Engine,"Students will participate in a team designing and coding enhancements to the Bayesian Inference Engine, particularly constructing robust Python interfaces to the existing C++. Responsibilities include: researching approaches; dividing work fairly and according to skills; coding; testing; and documenting enhancements. Evaluation will be based on quality of participation and work product, and on a brief written report summarizing the experience and individual learnings. This course counts as a CS Elective toward the CS major (BA/BS).",3,Undergraduate,,,[List]
COMPSCI 496G,Computer Science,COMPSCI,496G,Independent Study - Computer Networking Lab,"In this course, students will learn how to put ""principles into practice,"" in a hands-on-networking lab course. The course will cover router, switches and end-system labs in the areas of Single Segment IP Networks, Multiple Segment IP Networks and Static Routing, Dynamic Routing Protocols (RIP, OSPF and BGP), LAN switching, Transport Layer Protocols: UDP and TCP, NAT, DHCP, DNS, and SNMP. Students will also get engaged in evaluating power consumption of network components as an aid in the design of energy efficient (green) networks.  This course counts as a CS Elective toward the CS major (BA/BS).",3,Undergraduate,Prerequisite: COMPSCI 453 with a grade of 'C' or better.,,[List]
COMPSCI 496ISH,Computer Science,COMPSCI,496ISH,Honors Independent Study in COMPSCI,,,,,,[List]
COMPSCI 496M,Computer Science,COMPSCI,496M,Independent Study- Ethical Cloud Application Development for Minoritized Student Populations,"This independent study project builds on lessons learned in CICS 305 and other CS courses to explore ways of bringing ethical considerations to specific development activities. The group will create a Cloud Application focusing on facilitating communication within specific minoritized student populations. The goal of this cloud platform is to provide localized services for Chinese international students in Amherst. Students will focus on our target audience's needs, and they will engage in user research to inform and enact a user-centered design methodology. Students' design process will prioritize exploring and developing technical methods for protecting users' privacy while enabling site functionality which is defined as effective communication between our users.  This course counts as a CS Elective for the CS Major and an Elective for the INFORM Major.",3,Undergraduate,,,[List]
COMPSCI 496S,Computer Science,COMPSCI,496S,Independent Study- Scalable Web Systems,"Managing agile development of complex web systems is a difficult task. These applications require a broad range of conceptual understanding ranging from user interface design and client/server-side concepts and programming to caching, monitoring, scalability, and performance issues. These techniques need to work collectively to bring the end user a single working system. Unlike traditional waterfall methods of software development that demand a focus on design before development, agile development emphasizes techniques that require an iterative design, development, and deploy process. Test driven development is the focus and a working system is always available for review. This 1 credit course will require students to be managers that lead a software development team (students enrolled in 497S) to the successful completion and deployment of a real web application. Students enrolled in this course will be required to hold team meetings, manage work and design, and evaluate the individual work and contributions of students taking 497S and meet with the instructor to read and discuss agile software development and techniques from the literature. Prerequisites: CMPSCI 230 or 220 and 326. Co-requisites: 497S.",1,Undergraduate,"Prerequisites: COMPSCI 220 or 230 and COMPSCI 326, both with a grade of B or better.",,[List]
COMPSCI 497C,Computer Science,COMPSCI,497C,ST- Special Topics in Computer Graphics,"This course introduces the fundamental concepts of two-dimensional (2D) and three-dimensional (3D) computer graphics. It covers the basic methods needed to model, render, and animate 3D objects. Topics include raster displays, line drawing, affine and perspective transformations, windows and viewpoints, clipping, visibility, illumination models, reflectance models, radiometry, curves and surfaces, shading, texture mapping, ray tracing, graphic toolkits, animation, and 3D printing. Throughout the class, students will learn algorithmic ways to model the visual world, and write Java programs to implement various computer graphics algorithms.  This course counts as a CS Elective toward the CS major (BA or BS).",3,Undergraduate,Prerequisites: COMPSCI 187 and INFO 150 (or MATH 235 or COMPSCI 240) with a grade of B+ or better.,,[List]
COMPSCI 497P,Computer Science,COMPSCI,497P,Special Topics - Programming Languages,"This course surveys the principles of modern programming languages and provides a glimpse of contemporary programming languages research. This is an implementation-heavy course, where you will build typical language-based tools such as interpreters, type-checkers, and type inference algorithms. You will also implement emerging technologies, such as program verifiers and ""fancy"" type systems.  This course satisfies a CS Elective for the CS Major (BS/BA).",3,Undergraduate,"Prerequisites: COMPSCI 220, 230, and 250, all completed with an A grade.",,[List]
COMPSCI 497S,Computer Science,COMPSCI,497S,Special Topics- Scalable Web Systems,"The web has become a large and complex area for application development. Access to an abundance of open source languages, libraries, and frameworks has led to the quick and easy construction of a variety of applications with several moving parts working in coordination to present to the user the illusion of a single program. In reality, web applications are extremely difficult to get right. They involve a large collection of coordinated services, multiple databases, complicated user interfaces, security and performance issues, and ever changing 3rd party services, spread across physical and virtual machines. These complications are further stressed by the large number of concurrent users that access these applications every second. This course will investigate several well known web-based applications and the technology and software architecture used to scale these applications. We will also study a specific topic related to scalability in software design in the context of web application architecture. This course counts as a CS Elective toward the CS major (BA/BS) and as an Elective toward the INFORM major.",3,Undergraduate,Prerequisite: COMPSCI 326 with a grade of C or better.,,[List]
COMPSCI 498A,Computer Science,COMPSCI,498A,P- Credited Internship,,,,,,[List]
COMPSCI 499P,Computer Science,COMPSCI,499P,Honors Project,,,,,,[List]
COMPSCI 499T,Computer Science,COMPSCI,499T,Honors Thesis,,,,,,[List]
COMPSCI 499Y,Computer Science,COMPSCI,499Y,Honors Research,,,,,,[List]
COMPSCI 501,Computer Science,COMPSCI,501,Formal Language Theory,"Introduction to formal language theory. Topics include finite state languages, context-free languages, the relationship between language classes and formal machine models, the Turing Machine model of computation, theories of computability, resource-bounded models, and NP-completeness. It is recommended that students have a B- or better in COMPSCI 311 in order to attempt COMPSCI 501.",3,Graduate,,,[List]
COMPSCI 503,Computer Science,COMPSCI,503,Embedded Computing Systems,"Embedded Computational Systems is a hands-on laboratory for building integrated systems.  We develop analytical skills and discuss sensors, motor drivers, I/O, control logic, and operating systems for embedded applications.  Students build several individual projects and invent one integrated, semester-long team project.",3,Graduate,,,[List]
COMPSCI 508,Computer Science,COMPSCI,508,Ethical Considerations in Computing,"Informed by critical, cultural, social and technological theories, texts and ideas covered in this course target the intersections of computing and ethical reasoning. Students will be presented with questions to ask, possible theories to draw from, and best practices to consult in considering the ethical impacts of computing. Course materials reflect diversity in authorship, perspective, and epistemology.",3,Graduate,,,[List]
COMPSCI 513,Computer Science,COMPSCI,513,Logic in Computer Science,"Introduction to mathematical logic: propositional logic, first-order logic, completeness, emphasizing applications to computer science including SAT solvers, model checking, and resolution theorem proving.",3,Graduate,,,[List]
COMPSCI 514,Computer Science,COMPSCI,514,Algorithms for Data Science,"Mathematical and algorithmic foundations of big data processing. Study of methods for sampling, sketching, and distributed processing of large scale databases, graphs, and data streams for purposes of scalable statistical description, querying, pattern mining, and learning.",3,Graduate,,,[List]
COMPSCI 520,Computer Science,COMPSCI,520,Theory and Practice of Software Engineering,"Introduces students to the principal activities and state-of-the-art techniques involved in developing high-quality software systems. Topics include: requirements engineering, formal specification methods, design principles & patterns, verification & validation, debugging, and automated software engineering.",3,Graduate,,,[List]
COMPSCI 521,Computer Science,COMPSCI,521,Software Engineering: Analysis and Evaluation,"The current best testing and analysis practices; emerging new approaches, going beyond the testing of programs to include the testing and analysis of all software artifacts across the lifecycle.",3,Graduate,,,[List]
COMPSCI 527,Computer Science,COMPSCI,527,Introduction to Affective Computing,"Affective computing represents a broad, interdisciplinary research and practice area focusing on a range of topics, including: computational models of emotion, cognitive-affective architectures, affective user modeling; emotion sensing and recognition; emotion expression; and the use of emotions to improve human-computer interaction across a range of contexts including intelligent tutoring and gaming.  This course will provide an introduction to affective computing through a combination of lectures, student presentations of selected literature, projects and class discussions. The course content and format will be appropriate for computer science, cognitive science, psychology, human factors, and industrial engineering students (advanced undergraduate/graduate).  This course counts as a CS Elective for the CS Major (BS/BA).",3,Graduate,,,[List]
COMPSCI 528,Computer Science,COMPSCI,528,Mobile and Ubiquitous Computing,"This course will introduce students to the field of mobile sensing and ubiquitous computing (Ubicomp) - an emerging CS research area that aims to design and develop disruptive technologies with hardware and software systems for real-world messy, noisy and mobile scenarios. The students will learn how to build mobile sensing systems, how to implement it with ubiquitous computing tools, how to make sense of the sensor data and model the target variables. Lastly, the students will learn how to critically think about problems in many application areas including Human-Computer Interaction, Medicine, Sustainability, and Transportation, and subsequently practice to find appropriate Ubicomp solutions. Specifically, the course focuses on formal lectures, class discussions, hands-on data collection, prototyping exercises, assignments and end of the term final project. Students will be required to lead discussions, debate, critique papers, do mini-projects and assignments and run an end of term final project.",3,Graduate,,,[List]
COMPSCI 529,Computer Science,COMPSCI,529,Software Engineering Project Management,,,,,,[List]
COMPSCI 530,Computer Science,COMPSCI,530,Programming Languages,"Practical and theoretical aspects of several currently prominent languages representing distinct paradigms, including imperative, functional and logic programming. Focus on object-oriented languages, and C++ in particular.",3,Graduate,Prerequisite: CMPSCI 287 with a grade of 'C' or better.,,[List]
COMPSCI 532,Computer Science,COMPSCI,532,Systems for Data Science,"In this course, students will learn the fundamentals behind large-scale systems in the context of data science. We will cover the issues involved in scaling up (to many processors) and out (to many nodes) parallelism in order to perform fast analyses on large datasets. These include locality and data representation, concurrency, distributed databases and systems, performance analysis and understanding. We will explore the details of existing and emerging data science platforms, including MapReduce-Hadoop, Spark, and more.",3,Graduate,,,[List]
COMPSCI 535,Computer Science,COMPSCI,535,Computer Architecture,"The structure of digital computers from the logic level to the system level. Topics include: the design of components such as arithmetic units; the organization of sub-systems such as the memory; the interplay between hardware and software; the von Neumann architecture and its performance enhancements such as cache memory, instruction and data pipelines, coprocessors, and parallelism.",3,Graduate,,,[List]
COMPSCI 546,Computer Science,COMPSCI,546,Applied Information Retrieval,"This course is intended to cover information retrieval and other information processing activities, from an applied perspective. There will be numerous programming projects and quizzes. Topics will include: search engine construction (document acquisition, processing, indexing, and querying); learning to rank; information retrieval system performance evaluation; classification and clustering; other machine learning information processing tasks; and many more.",3,Graduate,,[List],[List]
COMPSCI 550,Computer Science,COMPSCI,550,Introduction to Simulation,"Using computers for system design and decision making under uncertainty. Monte Carlo methods, modeling discrete-event stochastic systems, random number generation, time-advance mechanisms, output analysis, simulation-based optimization.",3,Graduate,,,[List]
COMPSCI 560,Computer Science,COMPSCI,560,Introduction to Computer and Network Security,"This course provides an introduction to the principles and practice of computer and network security with a focus on both fundamental principles and practical applications through hands-on approach. Many of the principles are taught through examples. The key topics of this course are a brief introduction to computer networking; applied cryptography; protecting users, data, and services; network security, and common threats and defense strategies. Students will complete a number of practical lab assignments as well as auto-graded quizzes/assignments.",3,Graduate,,,[List]
COMPSCI 561,Computer Science,COMPSCI,561,System Defense and Test,"This class trains students to detect and analyze weaknesses and vulnerabilities in target systems as a method of assessing the security of a system. Such techniques have various names, including penetration testing and ethical hacking. We focus on tools and techniques that an attacker would employ but from the perspective of an ethical system administrator. Broad topics include: tools and techniques for penetration testing and attacks, information gathering, social engineering, and defenses. Specific topics include malware, denial-of-service attacks, man-in-the-middle (MITM) attacks, SQL injection, buffer overflow, session hijacking, and system hacking, network sniffing and scans, wireless encryption weaknesses and other Wi-Fi issues, IDS/Firewall evasion, Metasploit tools, physical security, and setting up honeypots.",3,Graduate,,,[List]
COMPSCI 563,Computer Science,COMPSCI,563,Internet Law and Policy,"This course is meant for those looking for practical legal knowledge for use in Internet related endeavors. This course provides basic legal knowledge for Internet related legal issues with a focus on practical information for use by computer professionals.  Topics covered are basics of the internet, basics of law and contract law, substantive laws, intellectual property law, basic ethical dealings, dealing with third parties, and policy issues.",3,Graduate,,,[List]
COMPSCI 571,Computer Science,COMPSCI,571,Data Visualization and Exploration,"Students will learn a systematic approach for visualization analysis and design to explore complex data in this course. The first part of the course focuses on teaching data visualization principles, including human perception, different visual encoding channels, and data and task abstraction techniques. The second part of the course will cover multiple aspects of data presentation for exploring patterns in data, including a wide range of statistical graphics and information visualization techniques. We will explore numerical data, relational data, temporal data, spatial data, graphs, and text. Students will perform several hands-on in-class exercises and discussions to help them better learn the materials discussed.",3,Graduate,,,[List]
COMPSCI 574,Computer Science,COMPSCI,574,Intelligent Visual Computing,"The course will teach students algorithms that intelligently process, analyze and generate visual data. The course will start by covering the most commonly used image and shape descriptors. It will proceed with statistical models for representing 2D images, textures, 3D shapes and scenes. The course will then provide an in-depth background on topics of shape and image analysis and co-analysis. Particular emphasis will be given on topics of automatically inferring function from shapes, as well as their contextual relationships with other shapes in scenes and human poses. Finally, the course will cover topics on automating the design and synthesis of 3D shapes with machine learning algorithms and advanced human-computer interfaces. Students will read, present and critique state-of-the-art research papers on the above topics. This course counts as a CS Elective toward the CS major (BA or BS).",3,Graduate,,,[List]
COMPSCI 575,Computer Science,COMPSCI,575,Combntrcs & Graph Thry,"Cross-listed with Math 513. A basic introduction to combinatorics and graph theory for advanced students in computer science, mathematics, and related fields. Topics include elements of graph theory, Euler and Hamiltonian circuits, graph coloring, matching, basic counting methods; generating functions; recurrences; inclusion-exclusion; Polya's theory of counting. Prerequisites: mathematical maturity; calculus; linear algebra; discrete mathematics course such as Comp-Sci 250 or Math 455. Math 411 recommended but not required.",3,Graduate,,,[List]
COMPSCI 576,Computer Science,COMPSCI,576,Game Programming,"Game Programming introduces students to concepts of computer game development, including scene modeling, physics engines, animation, character rigging, game AI, and the basics of game UI, audio effects and networking. The course will help students build the programming skills needed to turn ideas into games. Students will work on various game programming exercises with the Unity game engine and a final game development project.",3,Graduate,,,[List]
COMPSCI 577,Computer Science,COMPSCI,577,Operating Systems Design and Implementation,"Operating system internals.  Design of an Operating system kernel, design and implementation of system calls, device drivers, schedulers, memory management, file system management, file systems and network stack.",3,Graduate,,,[List]
COMPSCI 578,Computer Science,COMPSCI,578,Distributed Computing and Systems,"This course will teach the principles and practice of distributed systems as applied in today's cloud computing environments. The course will cover fundamental concepts in distributed computing including distributed clocks, consistency, fault tolerance, and consensus. The course will also cover popular cloud computing service models, related programming models, datacenter architectures, software-defined networking, and security and privacy issues in public clouds. The course will expose students to public cloud platforms such as Amazon EC2, Google Cloud Engine, Microsoft Azure etc. The assignments in the course will include a nontrivial programming component that assumes familiarity with multithreaded programming and network programming.",3,Graduate,,,[List]
COMPSCI 585,Computer Science,COMPSCI,585,Introduction to Natural Language Processing,"Natural Language Processing (NLP) uses mathematics, data, and linguistics to teach computers how to understand human language.  Assignments and programing projects to implement and improve NLP systems, such as machine translation and parsing.",3,Graduate,,,[List]
COMPSCI 589,Computer Science,COMPSCI,589,Machine Learning,"Introduction to core machine learning models and algorithms for classification, regression, dimensionality reduction and clustering. The course will cover the mathematical foundations behind the most common machine learning algorithms, and the effective use in solving real-world applications. Requires a strong mathematical background and knowledge of one high-level programming language such as Python.",3,Graduate,,,[List]
COMPSCI 590A,Computer Science,COMPSCI,590A,System Defense and Test,,,,,,[List]
COMPSCI 590B,Computer Science,COMPSCI,590B,Detecting Interference in Networks,"This course will cover topics related to the broad issue of detecting and measuring network interference. This will include topics such as traffic differentiation, network neutrality, surveillance, and blocking/censorship of content. The course will focus on network measurement tools and techniques in the context of detecting and observing manipulations and interference with network traffic. When relevant, historical and ethical/legal context will be discussed in relation to these topics.  This course counts as a CS Elective for the CS Major (BS and BA).",3,Graduate,,[List],[List]
COMPSCI 590C,Computer Science,COMPSCI,590C,Human Computer Interaction,"This course will provide an in-depth introduction to Human Computer Interaction (HCI). The topics will include: HCI history; discussion of human capabilities and limitations (perceptual, cognitive, physical), human error, and human emotions, and their relevance for HCI; generic principles of design and the principles guiding user interface and interaction design; design of WIMP (windows, icons, menus, pointing) and direct-manipulation user interfaces; virtual and augmented reality and novel modes of interaction; approaches to prototyping (storyboarding, paper prototyping, and low- and high-fidelity user interface prototyping); cognitive modeling; usability evaluation; affective HCI and current trends in HCI; as well as ethical considerations. This course counts as a CS Elective toward the CS major (BA or BS).",3,Graduate,,,[List]
COMPSCI 590CC,Computer Science,COMPSCI,590CC,Cloud Computing,,,,,,[List]
COMPSCI 590E,Computer Science,COMPSCI,590E,Ethical Considerations in Computing,,,,,,[List]
COMPSCI 590ED,Computer Science,COMPSCI,590ED,Educational Data Mining and Learner Analytic,"The primary goal of this course is for students to be comfortable with exploring educational datasets and analyzing them, finding patterns in educational data, creating models that summarize and describe data, and creating predictive models, using a variety of techniques that span machine learning, data mining, and statistics. We will work with datasets that come from educational learning technologies, tutoring and assessment software, as well as other datasets that students might be interested in (e.g. datasets from students grades classes, many of which are publicly available through national sources). Students are encouraged to bring their own datasets of interest, if they have them or want to. Another goal is to understand how current researchers in the field of educational data mining, AI in Education, and educational technology are using a variety of techniques to understand and model their data. We will cover many different methods, from machine learning methods applied to educational data and classic models inspired by cognitive theory. We will also cover various applications including computerized adaptive testing, affect detection, reading and writing analysis, activity log analysis, and instructional policy design.  This course counts as a CS Elective for the BS or BA.",3,Graduate,,,[List]
COMPSCI 590F,Computer Science,COMPSCI,590F,Advanced Digital Forensics,"This course offers a broad introduction to the forensic investigation of digital devices. We cover the preservation, recovery, harvesting, and courtroom presentation of information from file systems, operating systems, networks, database systems applications, media files, and embedded systems. The primary goal of the class is to understand why and from where information is recoverable in these systems. We also cover relevant issues from criminology, law, and the study of privacy.  This course counts as a CS Elective toward the CS major (BA or BS).",3,Graduate,,[List],[List]
COMPSCI 590G,Computer Science,COMPSCI,590G,Game Programming,,,,,,[List]
COMPSCI 590GC,Computer Science,COMPSCI,590GC,Three Dimensional Modeling and Simulation,"The course teaches students advanced algorithms and techniques for 3D geometric modeling, animation and physics-based simulation, which are all fundamental components of visual content creation software.",3,Graduate,"Undergraduates must have completed Math 235 and either CMPSCI 390CG or 473, all with a grade of A- or better.",,[List]
COMPSCI 590IV,Computer Science,COMPSCI,590IV,Intelligent Visual Computing,,,,,,[List]
COMPSCI 590J,Computer Science,COMPSCI,590J,"Cyber Effects: Reverse Engineering, Exploit Analysis, and Capability Development","This course covers a broad range of topics related to cyber security and operations. Our focus is on  real world studies of reverse engineering, exploit analysis, and capability development within the context of computer network operations and attack. The course has an emphasis on hands-on exercises and projects. Topics covered include computer architecture and assembly language, principles of embedded security, the essentials of exploit development and analysis (including using industry standard tools such as Ghidra, and utilizing computer security databases such as CVE), and discussion of real-world events and techniques.  This course counts as a CS Elective toward the CS Major (BA or BS).",3,Graduate,,,[List]
COMPSCI 590K,Computer Science,COMPSCI,590K,Advanced Digital Forensic Systems,"This course introduces students to the principal activities and state-of-the-art techniques involved in developing digital forensics systems. Topics covered may include: advanced file carving and reconstruction, forensic analysis of modern filesystems, network forensics, mobile device forensics, memory forensics, and anti-forensics.  This course counts as a CS Elective toward the CS major (BA or BS).",3,Graduate,,,[List]
COMPSCI 590L,Computer Science,COMPSCI,590L,Making Predictions,"How can we make predictions? The traditional approach in computer science is machine learning. However, this question is addressed in many ways in different fields. One approach is to simply ""guess"", in which case cognitive biases are important. Another approach might be to identify people who are good at predicting. But do such people exist? And how can we combine their judgment. Economics suggests prediction markets, where people compete for financial reward. This course will cover many different methods for making predictions. The goal is to understand the strengths and weaknesses of each.",3,Graduate,,,[List]
COMPSCI 590M,Computer Science,COMPSCI,590M,Introduction to Simulation,,,,,,[List]
COMPSCI 590N,Computer Science,COMPSCI,590N,Introduction to Numerical Computing with Python,,,,,,[List]
COMPSCI 590OP,Computer Science,COMPSCI,590OP,Applied Numerical Optimization,"This course provides an overview of numerical optimization methods and covers how to implement them in Python. We will discuss common algorithms ranging from gradient descent to stochastic methods, with applications ranging from image processing to neural networks.  This course counts as a CS Elective (BS or BA).",3,Graduate,,,[List]
